Year,Team,Finish,TourneyWins,Weekend,Seed,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,eFGPct,TOPct,ORPct,FTRate,OppeFGPct,OppTOPct,OppORPct,OppFTRate,FG2Pct,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,FG3Rate,OppFG3Rate,ARate,OppARate,StlRate,OppStlRate
2002,2002 Hawaii,H. First Round,1,1,10,67.0323,64.9374,108.442,110.916,94.6345,97.3463,13.5696,51.9591,18.1765,31.2621,39.9205,46.1843,21.9885,34.8444,34.3132,48.9529,38.374,68.7055,9.1203,44.6328,33.2075,66.3921,8.2024,34.9233,29.9604,66.6248,48.011,0.1046,0.0772
2002,2002 Holy Cross,H. First Round,1,1,16,64.2138,62.0567,98.0754,97.6868,92.2897,98.3544,-0.667653,44.9386,22.077,37.6007,46.2844,48.2263,23.2983,27.7672,36.4526,42.9583,33.79,69.153,9.3551,43.6876,38.3895,65.604,9.6774,25.629,32.6606,63.1124,64.4315,0.1217,0.1047
2002,2002 Illinois,F.Sweet 16,3,2,4,70.3965,68.6908,109.664,114.796,96.4559,92.8809,21.9149,53.5714,20.8238,35.5394,44.617,47.5765,21.9626,31.715,38.7755,52.7419,36.7052,74.0139,11.1111,45.7053,34.0087,66.3158,8.1452,35.8178,35.2551,64.978,55.092,0.1049,0.0793
2002,2002 Illinois Chicago,H. First Round,1,1,15,68.5598,67.2162,105.712,108.488,104.374,105.214,3.27351,49.7525,18.4701,32.7993,42.1892,50.2877,21.2451,35.223,44.9367,44.7068,40.1695,65.8409,3.5893,50.1669,33.7037,69.9104,11.1564,32.4532,31.0702,52.0356,55.9387,0.0805,0.0855
2002,2002 Indiana,B. Runner Up,6,3,5,65.7442,64.7779,105.397,112.595,94.4987,89.6736,22.9213,52.2101,20.6074,32.9341,37.2855,45.7564,21.3659,33.2303,31.353,48.3696,40,69.4561,12.5086,42.8866,35.5839,66.4013,10.0155,33.0213,27.359,58.4949,48.2295,0.1045,0.1075
2002,2002 Kansas,C. Final Four,5,3,1,79.0371,77.6019,114.544,118.1,94.4261,90.3113,27.7883,54.5416,20.4253,41.2084,35.2239,45.8706,20.6425,32.5214,29.4168,52.5627,41.0959,71.9128,12.2449,41.8677,36.4754,68.1621,9.1058,21.791,31.1622,61.3288,52.5424,0.1159,0.1094
2002,2002 Kent St.,D. Elite Eight,4,2,10,65.4145,64.1921,115.755,115.899,96.7084,96.5628,19.3362,51.9685,16.472,38.0992,35.6791,47.0165,20.6878,31.4523,36.4944,50.7947,36.5812,73.1034,5.4849,46.1844,32.4717,68.9051,5.5978,28.7894,32.9782,48.4721,50.6394,0.0974,0.0717
2002,2002 Kentucky,F.Sweet 16,3,2,4,70.2659,67.6361,105.277,112.536,94.9881,90.3566,22.1792,49.639,20.193,41.1662,31.7689,46.9432,22.7284,34.569,32.1507,50.9105,31.5089,67.6948,12.3344,45.1159,33.6538,67.9117,7.8385,34.8633,34.0611,51.1682,52.8477,0.1055,0.0987
2002,2002 Marquette,H. First Round,1,1,5,67.3809,64.5763,108.564,113.298,90.0151,91.0361,22.2615,52.0098,20.4818,39.6405,39.1092,45.9898,24.9932,33.5702,33.6746,50.3971,37.9386,69.1667,10.0983,44.7721,32.0814,65.3716,7.4368,24.7691,36.3481,52.8129,59.4901,0.1259,0.0925
2002,2002 Maryland,A. Champion,7,4,1,75.2758,73.3263,113.167,118.151,94.3706,91.2974,26.8534,53.0027,18.3287,36.0518,41.5036,44.8568,20.5133,33.5535,30.9028,51.9185,37.4138,72.5616,13.6106,43.6673,31.6597,68.118,7.6739,25.8007,31.1198,65.928,53.1522,0.1118,0.0941
